time,ID,count,protocol
1670347863,00,519,locomotor
1670347869,00,520,locomotor
1670347877,00,521,locomotor
1670347883,00,522,locomotor
1670347919,00,523,locomotor
1670347930,00,524,locomotor
1670347937,00,525,locomotor
1670347949,00,526,locomotor
1670347960,00,527,locomotor
1670348020,00,528,locomotor
1670348030,00,529,locomotor
1670348036,00,530,locomotor
1670348043,00,531,locomotor
1670348054,00,532,locomotor
1670348070,00,533,locomotor
1670348076,00,534,locomotor
1670348087,00,535,locomotor
1670348094,00,536,locomotor
1670348100,00,537,locomotor
1670348150,00,538,locomotor
1670348270,00,539,locomotor
1670348320,00,540,locomotor
1670348327,00,541,locomotor
1670348477,00,542,locomotor
1670348485,00,543,locomotor
1670348534,00,544,locomotor
1670348542,00,545,locomotor
1670348548,00,546,locomotor
1670348566,00,547,locomotor
1670348578,00,548,locomotor
1670348638,00,549,locomotor
1670348644,00,550,locomotor
1670348681,00,551,locomotor
1670348687,00,552,locomotor
1670348693,00,553,locomotor
1670348715,00,554,locomotor
1670348726,00,555,locomotor
1670348737,00,556,locomotor
1670348743,00,557,locomotor
1670348751,00,558,locomotor
1670348757,00,559,locomotor
1670348767,00,560,locomotor
1670348779,00,561,locomotor
1670348785,00,562,locomotor
1670348792,00,563,locomotor
1670348804,00,564,locomotor
1670348821,00,565,locomotor
1670348832,00,566,locomotor
1670348838,00,567,locomotor
1670348856,00,568,locomotor
1670348862,00,569,locomotor
1670348874,00,570,locomotor
1670348881,00,571,locomotor
1670348887,00,572,locomotor
1670348895,00,573,locomotor
1670348938,00,574,locomotor
1670348966,00,575,locomotor
1670348974,00,576,locomotor
1670348998,00,577,locomotor
1670349009,00,578,locomotor
1670349045,00,579,locomotor
1670349053,00,580,locomotor
1670349080,00,581,locomotor
1670349101,00,582,locomotor
1670349113,00,583,locomotor
1670349158,00,584,locomotor
1670349170,00,585,locomotor
1670349177,00,586,locomotor
1670349189,00,587,locomotor
1670349222,00,588,locomotor
1670349228,00,589,locomotor
1670349234,00,590,locomotor
1670349249,00,591,locomotor
1670349274,00,592,locomotor
1670349289,00,593,locomotor
1670349297,00,594,locomotor
1670349324,00,595,locomotor
1670349367,00,596,locomotor
1670349400,00,597,locomotor
1670349410,00,598,locomotor
1670349416,00,599,locomotor
1670349434,00,600,locomotor
1670349463,00,601,locomotor
1670349470,00,602,locomotor
1670349497,00,603,locomotor
1670349509,00,604,locomotor
1670349532,00,605,locomotor
1670349545,00,606,locomotor
1670349551,00,607,locomotor
1670349557,00,608,locomotor
1670349564,00,609,locomotor
1670349621,00,610,locomotor
1670349634,00,611,locomotor
1670349643,00,612,locomotor
1670349650,00,613,locomotor
1670349663,00,614,locomotor
1670349675,00,615,locomotor
1670349681,00,616,locomotor
1670349688,00,617,locomotor
1670349699,00,618,locomotor
1670349717,00,619,locomotor
1670349847,00,620,locomotor
1670349937,00,621,locomotor
1670349950,00,622,locomotor
1670349959,00,623,locomotor
1670349984,00,624,locomotor
1670350002,00,625,locomotor
1670350016,00,626,locomotor
1670350031,00,627,locomotor
1670350040,00,628,locomotor
1670350049,00,629,locomotor
1670350056,00,630,locomotor
1670350072,00,631,locomotor
1670350080,00,632,locomotor
1670350111,00,633,locomotor
1670350153,00,634,locomotor
1670350181,00,635,locomotor
1670350192,00,636,locomotor
1670350198,00,637,locomotor
1670350212,00,638,locomotor
1670350219,00,639,locomotor
1670350229,00,640,locomotor
1670350237,00,641,locomotor
1670350244,00,642,locomotor
1670350250,00,643,locomotor
1670350256,00,644,locomotor
1670350311,00,645,locomotor
1670350331,00,646,locomotor
1670350385,00,647,locomotor
1670350403,00,648,locomotor
1670350409,00,649,locomotor
1670350415,00,650,locomotor
1670350429,00,651,locomotor
1670350471,00,652,locomotor
1670350611,00,653,locomotor
1670350618,00,654,locomotor
1670350633,00,655,locomotor
1670350640,00,656,locomotor
1670350647,00,657,locomotor
1670350687,00,658,locomotor
1670350694,00,659,locomotor
1670350702,00,660,locomotor
1670350731,00,661,locomotor
1670350771,00,662,locomotor
1670350798,00,663,locomotor
1670350877,00,664,locomotor
1670350886,00,665,locomotor
1670350898,00,666,locomotor
1670350904,00,667,locomotor
1670350945,00,668,locomotor
1670350957,00,669,locomotor
1670351003,00,670,locomotor
1670351018,00,671,locomotor
1670351031,00,672,locomotor
1670351071,00,673,locomotor
1670351123,00,674,locomotor
1670351141,00,675,locomotor
1670351188,00,676,locomotor
1670351202,00,677,locomotor
1670351239,00,678,locomotor
1670351245,00,679,locomotor
1670351257,00,680,locomotor
1670351264,00,681,locomotor
1670351282,00,682,locomotor
1670351319,00,683,locomotor
1670351328,00,684,locomotor
1670351359,00,685,locomotor
1670351365,00,686,locomotor
1670351371,00,687,locomotor
1670351382,00,688,locomotor
1670351393,00,689,locomotor
1670351406,00,690,locomotor
1670351413,00,691,locomotor
1670351425,00,692,locomotor
1670351432,00,693,locomotor
1670351439,00,694,locomotor
1670351445,00,695,locomotor
1670351452,00,696,locomotor
1670351492,00,697,locomotor
1670351506,00,698,locomotor
1670351516,00,699,locomotor
1670351522,00,700,locomotor
1670351528,00,701,locomotor
1670351539,00,702,locomotor
1670351545,00,703,locomotor
1670351552,00,704,locomotor
1670351558,00,705,locomotor
1670351588,00,706,locomotor
1670351601,00,707,locomotor
1670351615,00,708,locomotor
1670351628,00,709,locomotor
1670351635,00,710,locomotor
1670351642,00,711,locomotor
1670351666,00,712,locomotor
1670351677,00,713,locomotor
1670351697,00,714,locomotor
1670351709,00,715,locomotor
1670351721,00,716,locomotor
1670351746,00,717,locomotor
1670351792,00,718,locomotor
1670351832,00,719,locomotor
1670351844,00,720,locomotor
1670351867,00,721,locomotor
1670351879,00,722,locomotor
1670351888,00,723,locomotor
1670351900,00,724,locomotor
