1670079473,00,421,locomotor
1670079495,00,422,locomotor
1670079501,00,423,locomotor
1670079516,00,424,locomotor
1670079570,00,425,locomotor
1670079628,00,426,locomotor
1670079642,00,427,locomotor
1670079648,00,428,locomotor
1670079702,00,429,locomotor
1670079713,00,430,locomotor
1670079725,00,431,locomotor
1670079730,00,432,locomotor
1670079738,00,433,locomotor
1670079753,00,434,locomotor
1670079761,00,435,locomotor
1670079769,00,436,locomotor
1670079790,00,437,locomotor
1670079838,00,438,locomotor
1670079850,00,439,locomotor
1670079863,00,440,locomotor
1670079947,00,441,locomotor
1670079953,00,442,locomotor
1670079963,00,443,locomotor
1670079970,00,444,locomotor
1670079996,00,445,locomotor
1670080009,00,446,locomotor
1670080020,00,447,locomotor
1670080032,00,448,locomotor
1670080043,00,449,locomotor
1670080050,00,450,locomotor
1670080056,00,451,locomotor
1670080062,00,452,locomotor
1670080104,00,453,locomotor
1670080122,00,454,locomotor
1670080134,00,455,locomotor
1670080141,00,456,locomotor
1670080150,00,457,locomotor
1670080157,00,458,locomotor
1670080165,00,459,locomotor
1670080177,00,460,locomotor
1670080193,00,461,locomotor
1670080283,00,462,locomotor
1670080298,00,463,locomotor
1670080312,00,464,locomotor
1670080323,00,465,locomotor
1670080340,00,466,locomotor
1670080374,00,467,locomotor
1670080383,00,468,locomotor
1670080389,00,469,locomotor
1670080396,00,470,locomotor
1670080432,00,471,locomotor
1670080473,00,472,locomotor
1670080480,00,473,locomotor
1670080488,00,474,locomotor
1670080510,00,475,locomotor
1670080529,00,476,locomotor
1670080538,00,477,locomotor
1670080548,00,478,locomotor
1670080557,00,479,locomotor
1670080584,00,480,locomotor
1670080591,00,481,locomotor
1670080597,00,482,locomotor
1670080611,00,483,locomotor
1670080665,00,484,locomotor
1670080671,00,485,locomotor
1670080689,00,486,locomotor
1670080696,00,487,locomotor
1670080709,00,488,locomotor
1670080715,00,489,locomotor
1670080721,00,490,locomotor
1670080760,00,491,locomotor
1670080832,00,492,locomotor
1670080859,00,493,locomotor
1670080890,00,494,locomotor
1670080912,00,495,locomotor
1670080934,00,496,locomotor
1670080954,00,497,locomotor
1670080967,00,498,locomotor
1670081022,00,499,locomotor
1670081035,00,500,locomotor
1670081052,00,501,locomotor
1670081078,00,502,locomotor
1670081084,00,503,locomotor
1670081091,00,504,locomotor
1670081104,00,505,locomotor
1670081132,00,506,locomotor
1670081160,00,507,locomotor
1670081167,00,508,locomotor
1670081182,00,509,locomotor
1670081203,00,510,locomotor
1670081210,00,511,locomotor
1670081222,00,512,locomotor
1670081274,00,513,locomotor
1670081289,00,514,locomotor
1670081342,00,515,locomotor
1670081358,00,516,locomotor
1670081371,00,517,locomotor
1670081386,00,518,locomotor
1670081398,00,519,locomotor
1670081403,00,520,locomotor
1670081410,00,521,locomotor
1670081419,00,522,locomotor
1670081427,00,523,locomotor
1670081437,00,524,locomotor
1670081454,00,525,locomotor
1670081469,00,526,locomotor
1670081477,00,527,locomotor
1670081494,00,528,locomotor
1670081502,00,529,locomotor
1670081508,00,530,locomotor
1670081611,00,531,locomotor
1670081624,00,532,locomotor
1670081633,00,533,locomotor
1670081648,00,534,locomotor
1670081655,00,535,locomotor
1670081681,00,536,locomotor
1670081701,00,537,locomotor
1670081750,00,538,locomotor
1670081766,00,539,locomotor
1670081772,00,540,locomotor
1670081778,00,541,locomotor
1670081789,00,542,locomotor
1670081802,00,543,locomotor
1670081822,00,544,locomotor
